,last_price,last_price,,,,,,,,,
Date,YLS:222Y Index,DMNP Index,,,,Date,Opportunties,Benchmark,,,
12/07/2023,100,2234.2,3,,,12/07/2023,100,100,3,100.00,2234.2
13/07/2023,100.0572,2238.88,4,,,13/07/2023,100.06,100.21,4,100.06,2238.88
14/07/2023,99.8135,2236.62,5,,,14/07/2023,99.81,100.11,5,99.81,2236.62
17/07/2023,100.363,2245.63,1,,,17/07/2023,100.36,100.51,1,100.36,2245.63
18/07/2023,101.6441,2260.73,2,,,18/07/2023,101.64,101.19,2,101.64,2260.73
19/07/2023,103.0967,2299.53,3,,,19/07/2023,103.10,102.92,3,103.10,2299.53
20/07/2023,102.6986,2291.95,4,,,20/07/2023,102.70,102.58,4,102.70,2291.95
21/07/2023,103.4178,2292.67,5,,,21/07/2023,103.42,102.62,5,103.42,2292.67
24/07/2023,103.5549,2304.06,1,,,24/07/2023,103.55,103.13,1,103.55,2304.06
25/07/2023,103.5405,2303.24,2,,,25/07/2023,103.54,103.09,2,103.54,2303.24
26/07/2023,104.011,2290.39,3,,,26/07/2023,104.01,102.51,3,104.01,2290.39
27/07/2023,104.1687,2295.87,4,,,27/07/2023,104.17,102.76,4,104.17,2295.87
28/07/2023,106.1887,2311.01,5,,,28/07/2023,106.19,103.44,5,106.19,2311.01
31/07/2023,106.5413,2315.32,1,,,31/07/2023,106.54,103.63,1,106.54,2315.32
01/08/2023,106.7839,2322.74,2,,,01/08/2023,106.78,103.96,2,106.78,2322.74
02/08/2023,105.5343,2299.67,3,,,02/08/2023,105.53,102.93,3,105.53,2299.67
03/08/2023,105.1547,2290.19,4,,,03/08/2023,105.15,102.51,4,105.15,2290.19
04/08/2023,104.2716,2276.35,5,,,04/08/2023,104.27,101.89,5,104.27,2276.35
07/08/2023,104.2825,2287.44,1,,,07/08/2023,104.28,102.38,1,104.28,2287.44
08/08/2023,103.4605,2284.24,2,,,08/08/2023,103.46,102.24,2,103.46,2284.24
09/08/2023,103.3056,2273.2,3,,,09/08/2023,103.31,101.75,3,103.31,2273.2
10/08/2023,103.3016,2279.46,4,,,10/08/2023,103.30,102.03,4,103.30,2279.46
11/08/2023,102.9455,2274.83,5,,,11/08/2023,102.95,101.82,5,102.95,2274.83
14/08/2023,103.704,2287.79,1,,,14/08/2023,103.70,102.40,1,103.70,2287.79
15/08/2023,101.7241,2250.89,2,,,15/08/2023,101.72,100.75,2,101.72,2250.89
16/08/2023,100.9398,2232.23,3,,,16/08/2023,100.94,99.91,3,100.94,2232.23
17/08/2023,100.1988,2213.62,4,,,17/08/2023,100.20,99.08,4,100.20,2213.62
18/08/2023,99.9861,2215.56,5,,,18/08/2023,99.99,99.17,5,99.99,2215.56
21/08/2023,100.4609,2225.22,1,,,21/08/2023,100.46,99.60,1,100.46,2225.22
22/08/2023,100.3713,2223.57,2,,,22/08/2023,100.37,99.52,2,100.37,2223.57
23/08/2023,102.0012,2254.11,3,,,23/08/2023,102.00,100.89,3,102.00,2254.11
24/08/2023,101.1701,2236.16,4,,,24/08/2023,101.17,100.09,4,101.17,2236.16
25/08/2023,102.1245,2258.3,5,,,25/08/2023,102.12,101.08,5,102.12,2258.3
28/08/2023,103.0559,2272.41,1,,,28/08/2023,103.06,101.71,1,103.06,2272.41
29/08/2023,104.561,2300.89,2,,,29/08/2023,104.56,102.98,2,104.56,2300.89
30/08/2023,103.954,2288.33,3,,,30/08/2023,103.95,102.42,3,103.95,2288.33
31/08/2023,104.2009,2294.33,4,,,31/08/2023,104.20,102.69,4,104.20,2294.33
01/09/2023,104.7079,2306.96,5,,,01/09/2023,104.71,103.26,5,104.71,2306.96
04/09/2023,104.5558,2307.41,1,,,04/09/2023,104.56,103.28,1,104.56,2307.41
05/09/2023,103.9992,2306.26,2,,,05/09/2023,104.00,103.23,2,104.00,2306.26
06/09/2023,104.2132,2304.74,3,,,06/09/2023,104.21,103.16,3,104.21,2304.74
07/09/2023,104.2599,2300.92,4,,,07/09/2023,104.26,102.99,4,104.26,2300.92
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
